"team_name" "Average Pull Time" "year" "playoff" "one_goal"
"333" "Dallas Stars" 58.15 2019 TRUE "TRUE"
"334" "Edmonton Oilers" 4 2019 TRUE "TRUE"
"335" "Minnesota Wild" 10 2019 TRUE "TRUE"
"336" "Montreal Canadiens" 47.6363636363636 2019 TRUE "TRUE"
"337" "Nashville Predators" 53.2 2019 TRUE "TRUE"
"338" "New York Islanders" 31.2222222222222 2019 TRUE "TRUE"
"339" "New York Rangers" 3 2019 TRUE "TRUE"
"340" "Philadelphia Flyers" 63 2019 TRUE "TRUE"
"341" "Pittsburgh Penguins" 75.25 2019 TRUE "TRUE"
"342" "St. Louis Blues" 37.4 2019 TRUE "TRUE"
"343" "Tampa Bay Lightning" 71.7142857142857 2019 TRUE "TRUE"
"344" "Toronto Maple Leafs" 99 2019 TRUE "TRUE"
"345" "Vegas Golden Knights" 60 2019 TRUE "TRUE"
"346" "Boston Bruins" 89 2019 TRUE "FALSE"
"347" "Carolina Hurricanes" 89 2019 TRUE "FALSE"
"348" "Colorado Avalanche" 109.473684210526 2019 TRUE "FALSE"
"349" "Dallas Stars" 69.2222222222222 2019 TRUE "FALSE"
"350" "Edmonton Oilers" 161 2019 TRUE "FALSE"
"351" "Florida Panthers" 64.875 2019 TRUE "FALSE"
"352" "Minnesota Wild" 68.8571428571429 2019 TRUE "FALSE"
"353" "Montreal Canadiens" 38.75 2019 TRUE "FALSE"
"354" "New York Islanders" 120.5 2019 TRUE "FALSE"
"355" "New York Rangers" 105.5 2019 TRUE "FALSE"
"356" "Philadelphia Flyers" 89.2 2019 TRUE "FALSE"
"357" "St. Louis Blues" 104.3 2019 TRUE "FALSE"
"358" "Tampa Bay Lightning" 135.631578947368 2019 TRUE "FALSE"
"359" "Toronto Maple Leafs" 121.5 2019 TRUE "FALSE"
"360" "Vancouver Canucks" 54.2857142857143 2019 TRUE "FALSE"
"361" "Vegas Golden Knights" 48 2019 TRUE "FALSE"
"362" "Washington Capitals" 107.2 2019 TRUE "FALSE"
"363" "Winnipeg Jets" 238 2019 TRUE "FALSE"
"364" "Anaheim Ducks" 64.6206896551724 2020 FALSE "TRUE"
"365" "Arizona Coyotes" 55.027027027027 2020 FALSE "TRUE"
"366" "Boston Bruins" 53.7058823529412 2020 FALSE "TRUE"
"367" "Buffalo Sabres" 58.7560975609756 2020 FALSE "TRUE"
"368" "Calgary Flames" 39.6842105263158 2020 FALSE "TRUE"
"369" "Carolina Hurricanes" 71.0333333333333 2020 FALSE "TRUE"
"370" "Chicago Blackhawks" 32.5 2020 FALSE "TRUE"
"371" "Colorado Avalanche" 80.3125 2020 FALSE "TRUE"
"372" "Columbus Blue Jackets" 78.5 2020 FALSE "TRUE"
"373" "Dallas Stars" 74.7741935483871 2020 FALSE "TRUE"
"374" "Detroit Red Wings" 34.8695652173913 2020 FALSE "TRUE"
"375" "Edmonton Oilers" 39.45 2020 FALSE "TRUE"
"376" "Florida Panthers" 68.5217391304348 2020 FALSE "TRUE"
"377" "Los Angeles Kings" 42.7037037037037 2020 FALSE "TRUE"
"378" "Minnesota Wild" 52.71875 2020 FALSE "TRUE"
"379" "Montreal Canadiens" 67 2020 FALSE "TRUE"
"380" "Nashville Predators" 46.3333333333333 2020 FALSE "TRUE"
"381" "New Jersey Devils" 35.1 2020 FALSE "TRUE"
"382" "New York Islanders" 32.4 2020 FALSE "TRUE"
"383" "New York Rangers" 58.4117647058824 2020 FALSE "TRUE"
"384" "Ottawa Senators" 62.1666666666667 2020 FALSE "TRUE"
"385" "Philadelphia Flyers" 62.1219512195122 2020 FALSE "TRUE"
"386" "Pittsburgh Penguins" 42.4375 2020 FALSE "TRUE"
"387" "San Jose Sharks" 49.75 2020 FALSE "TRUE"
"388" "St. Louis Blues" 66.1875 2020 FALSE "TRUE"
"389" "Tampa Bay Lightning" 97.6666666666667 2020 FALSE "TRUE"
"390" "Toronto Maple Leafs" 72.7727272727273 2020 FALSE "TRUE"
"391" "Vancouver Canucks" 72.7368421052632 2020 FALSE "TRUE"
"392" "Vegas Golden Knights" 48.7058823529412 2020 FALSE "TRUE"
"393" "Washington Capitals" 68.3 2020 FALSE "TRUE"
"394" "Winnipeg Jets" 65.1428571428571 2020 FALSE "TRUE"
