"team_name" "Number of Pulls " "year" "playoff" "one_goal"
"292" "Vegas Golden Knights" 10 2019 FALSE TRUE
"293" "Washington Capitals" 13 2019 FALSE TRUE
"294" "Winnipeg Jets" 8 2019 FALSE TRUE
"295" "Anaheim Ducks" 12 2019 FALSE FALSE
"296" "Arizona Coyotes" 3 2019 FALSE FALSE
"297" "Boston Bruins" 6 2019 FALSE FALSE
"298" "Buffalo Sabres" 14 2019 FALSE FALSE
"299" "Calgary Flames" 10 2019 FALSE FALSE
"300" "Carolina Hurricanes" 8 2019 FALSE FALSE
"301" "Chicago Blackhawks" 7 2019 FALSE FALSE
"302" "Colorado Avalanche" 5 2019 FALSE FALSE
"303" "Columbus Blue Jackets" 7 2019 FALSE FALSE
"304" "Dallas Stars" 8 2019 FALSE FALSE
"305" "Detroit Red Wings" 14 2019 FALSE FALSE
"306" "Edmonton Oilers" 5 2019 FALSE FALSE
"307" "Florida Panthers" 8 2019 FALSE FALSE
"308" "Los Angeles Kings" 5 2019 FALSE FALSE
"309" "Minnesota Wild" 7 2019 FALSE FALSE
"310" "Montreal Canadiens" 14 2019 FALSE FALSE
"311" "Nashville Predators" 7 2019 FALSE FALSE
"312" "New Jersey Devils" 3 2019 FALSE FALSE
"313" "New York Islanders" 7 2019 FALSE FALSE
"314" "New York Rangers" 10 2019 FALSE FALSE
"315" "Ottawa Senators" 9 2019 FALSE FALSE
"316" "Philadelphia Flyers" 8 2019 FALSE FALSE
"317" "Pittsburgh Penguins" 3 2019 FALSE FALSE
"318" "San Jose Sharks" 8 2019 FALSE FALSE
"319" "St. Louis Blues" 7 2019 FALSE FALSE
"320" "Tampa Bay Lightning" 5 2019 FALSE FALSE
"321" "Toronto Maple Leafs" 7 2019 FALSE FALSE
"322" "Vancouver Canucks" 6 2019 FALSE FALSE
"323" "Vegas Golden Knights" 8 2019 FALSE FALSE
"324" "Washington Capitals" 5 2019 FALSE FALSE
"325" "Winnipeg Jets" 5 2019 FALSE FALSE
"326" "Arizona Coyotes" 1 2019 TRUE TRUE
"327" "Boston Bruins" 2 2019 TRUE TRUE
"328" "Calgary Flames" 2 2019 TRUE TRUE
"329" "Carolina Hurricanes" 3 2019 TRUE TRUE
"330" "Chicago Blackhawks" 2 2019 TRUE TRUE
"331" "Colorado Avalanche" 3 2019 TRUE TRUE
"332" "Columbus Blue Jackets" 1 2019 TRUE TRUE
"333" "Dallas Stars" 5 2019 TRUE TRUE
"334" "Edmonton Oilers" 2 2019 TRUE TRUE
"335" "Minnesota Wild" 1 2019 TRUE TRUE
"336" "Montreal Canadiens" 4 2019 TRUE TRUE
"337" "Nashville Predators" 2 2019 TRUE TRUE
"338" "New York Islanders" 3 2019 TRUE TRUE
"339" "New York Rangers" 1 2019 TRUE TRUE
"340" "Philadelphia Flyers" 2 2019 TRUE TRUE
"341" "Pittsburgh Penguins" 2 2019 TRUE TRUE
"342" "St. Louis Blues" 2 2019 TRUE TRUE
"343" "Tampa Bay Lightning" 3 2019 TRUE TRUE
"344" "Toronto Maple Leafs" 1 2019 TRUE TRUE
"345" "Vegas Golden Knights" 4 2019 TRUE TRUE
"346" "Boston Bruins" 1 2019 TRUE FALSE
"347" "Carolina Hurricanes" 1 2019 TRUE FALSE
"348" "Colorado Avalanche" 4 2019 TRUE FALSE
"349" "Dallas Stars" 3 2019 TRUE FALSE
"350" "Edmonton Oilers" 1 2019 TRUE FALSE
"351" "Florida Panthers" 1 2019 TRUE FALSE
"352" "Minnesota Wild" 1 2019 TRUE FALSE
"353" "Montreal Canadiens" 2 2019 TRUE FALSE
"354" "New York Islanders" 1 2019 TRUE FALSE
"355" "New York Rangers" 1 2019 TRUE FALSE
"356" "Philadelphia Flyers" 2 2019 TRUE FALSE
"357" "St. Louis Blues" 2 2019 TRUE FALSE
"358" "Tampa Bay Lightning" 4 2019 TRUE FALSE
"359" "Toronto Maple Leafs" 2 2019 TRUE FALSE
"360" "Vancouver Canucks" 4 2019 TRUE FALSE
