"team_name" "Average Pull Time" "year" "playoff" "one_goal" "Number of Pulls " "tot"
"143" "St. Louis Blues" 97.5227272727273 2017 FALSE FALSE 10 975.227272727273
"144" "Tampa Bay Lightning" 76.9166666666667 2017 FALSE FALSE 4 307.666666666667
"145" "Toronto Maple Leafs" 89.3939393939394 2017 FALSE FALSE 13 1162.12121212121
"146" "Vancouver Canucks" 105.1 2017 FALSE FALSE 7 735.7
"147" "Vegas Golden Knights" 96.2083333333333 2017 FALSE FALSE 8 769.666666666667
"148" "Washington Capitals" 73.0952380952381 2017 FALSE FALSE 7 511.666666666667
"149" "Winnipeg Jets" 44.7142857142857 2017 FALSE FALSE 5 223.571428571429
"150" "Anaheim Ducks" 51.7142857142857 2017 TRUE TRUE 2 103.428571428571
"151" "Boston Bruins" 43.2857142857143 2017 TRUE TRUE 2 86.5714285714286
"152" "Colorado Avalanche" 46.75 2017 TRUE TRUE 2 93.5
